Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main FPGA","Lattice ECP5 (LFE5UM5G-85F-8BG381C)","","electrical","mcu",1,75.00,75.00,"https://www.digikey.com/en/products/detail/lattice-semiconductor-corporation/LFE5UM5G-85F-8BG381C/10207869"
"LPDDR4 Memory Chip 0","Micron MT53E256M32D2SP-046 AAT:B","","electrical","module",1,20.00,20.00,"https://www.digikey.com/en/products/detail/micron-technology/MT53E256M32D2SP-046-AAT-B/6007421"
"LPDDR4 Memory Chip 1","Micron MT53E256M32D2SP-046 AAT:B","","electrical","module",1,20.00,20.00,"https://www.digikey.com/en/products/detail/micron-technology/MT53E256M32D2SP-046-AAT-B/6007421"
"LPDDR4 Memory Chip 2","Micron MT53E256M32D2SP-046 AAT:B","","electrical","module",1,20.00,20.00,"https://www.digikey.com/en/products/detail/micron-technology/MT53E256M32D2SP-046-AAT-B/6007421"
"LPDDR4 Memory Chip 3","Micron MT53E256M32D2SP-046 AAT:B","","electrical","module",1,20.00,20.00,"https://www.digikey.com/en/products/detail/micron-technology/MT53E256M32D2SP-046-AAT-B/6007421"
"HDMI Transmitter","Analog Devices ADV7513","Converts parallel digital video/audio from MCU to HDMI output.","electrical","module",1,12.00,12.00,"https://www.digikey.com/en/products/detail/analog-devices-inc/ADV7513KSTZ-110/3740923"
"USB-C PD Controller","STMicroelectronics STUSB4500","Manages USB Type-C power delivery and data communication.","electrical","module",1,3.50,3.50,"https://www.digikey.com/en/products/detail/stmicroelectronics/STUSB4500QTR/6596956"
"FPGA Core Voltage Regulator","Analog Devices ADP5052ACPZ-R7 (for 1.1V, 1.2V)","","electrical","power",1,5.00,5.00,"https://www.digikey.com/en/products/detail/analog-devices-inc/ADP5052ACPZ-R7/2422532"
"LPDDR4 VDD1/VDD2 Regulator","Texas Instruments TPS62130 (for 1.1V)","","electrical","power",1,3.00,3.00,"https://www.digikey.com/en/products/detail/texas-instruments/TPS62130RGTR/2202677"
"LPDDR4 VDDQ Regulator","Texas Instruments TPS62130 (for 0.6V)","","electrical","power",1,3.00,3.00,"https://www.digikey.com/en/products/detail/texas-instruments/TPS62130RGTR/2202677"
"LPDDR4 VPP Regulator","Analog Devices ADP1715-1.8 (for 1.8V)","","electrical","power",1,1.50,1.50,"https://www.digikey.com/en/products/detail/analog-devices-inc/ADP1715ARMZ-1-8-R7/2418578"
"FPGA IO Voltage Regulator","Monolithic Power Systems MPQ4420","","electrical","power",1,2.50,2.50,"https://www.digikey.com/en/products/detail/monolithic-power-systems/MPQ4420AGR-AEC1-Z/11883515"
"Auxiliary 3.3V Regulator","Monolithic Power Systems MPQ4420","","electrical","power",1,2.50,2.50,"https://www.digikey.com/en/products/detail/monolithic-power-systems/MPQ4420AGR-AEC1-Z/11883515"
"USB-C Power Input Receptacle","Amphenol ICC 12401665E50A","","electrical","module",1,1.50,1.50,"https://www.digikey.com/en/products/detail/amphenol-icc/12401665E50A/7325514"
"HDMI Type-A Output Receptacle","Molex 0471510001","Compact micro HDMI receptacle for display output.","electrical","module",1,1.00,1.00,"https://www.digikey.com/en/products/detail/molex/0471510001/479901"
"JTAG Debug Header","Samtec TSW-105-07-G-D","","electrical","module",1,0.80,0.80,"https://www.digikey.com/en/products/detail/samtec-inc/TSW-105-07-G-D/1099645"
"FPGA Configuration Flash","Winbond W25Q128FVSSIQ","SPI NOR flash memory for storing the GPU's firmware (VBIOS).","electrical","module",1,2.00,2.00,"https://www.digikey.com/en/products/detail/winbond-electronics/W25Q128FVSSIQ/4301556"
"PCB Standoff (Front-Left)","M3x10mm Brass Hex Standoff","Standoff for mounting the PCB to a base plate or bottom enclosure.","mechanical","misc",1,0.25,0.25,"https://www.amazon.com/dp/B083GM48C1?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"PCB Standoff (Front-Right)","M3x10mm Brass Hex Standoff","Standoff for mounting the PCB to a base plate or bottom enclosure.","mechanical","misc",1,0.25,0.25,"https://www.amazon.com/dp/B083GM48C1?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"PCB Standoff (Back-Left)","M3x10mm Brass Hex Standoff","Standoff for mounting the PCB to a base plate or bottom enclosure.","mechanical","misc",1,0.25,0.25,"https://www.amazon.com/dp/B083GM48C1?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"PCB Standoff (Back-Right)","M3x10mm Brass Hex Standoff","Standoff for mounting the PCB to a base plate or bottom enclosure.","mechanical","misc",1,0.25,0.25,"https://www.amazon.com/dp/B083GM48C1?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"M3 PCB Mounting Screws","M3x6mm Pan Head Screws","Screws for securing the PCB to the standoffs.","mechanical","misc",4,0.05,0.20,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxgmy89HWc7QxDAbrvksPkUjWq8X2d4yhIh6uBYYeEn75GLm3vaiwNsFCHfkyCZjcXPNrgVhPYVNmXg798UWO4XGoCHs1ojp6M6UnWBO3CkHOM674q3Chx9S2MxGQMPKVOMaYwaXuCK2J7tY9kKH4rjo5ntE68KOvRewFYxAgUeCUsLDE8AP5bi53QflwJPvq9owr4GiTstFQStlEV0ltWLd0siJwYom40SpkG4108PJwghaYSdhZvHDgbBobOQUlLOZhWw6nRwQgDv8JnCvouXuZoVxYN7TsztEBjQKCwW2NOlBLm0dtR9dA97QjmtB1cGr5dphPSBrpEF4kp7ilfNNuFcKWqRbT04NzHQydDSeXXMlZNxZ74kTlkk8b5pglSr1UPspGZDSCZXcNLFPK1JHcLsMcc0PflBp9kyjBsi1zfu3HxvQphG2xEBJX7nIQRnU5d80rwPcPVLm96TGEEPdmmYXMd7QZh7yyei65q3ljMO6U8pJ63XkBhLeo5wy9rWMJH6KSDioLRWENBxNTVnIHVXJJir2Yr5iYPYLgoHkBweMnR2MnkiX3eso0RnXhSDhpF8fYBcuDs9WhWT8noeIlvY4S7VW8DP3TNavfknrTRoou1ej2TdqwOCvL86t0Y9M2qErP2Sqzhd7hYtRswChd"
"Bottom Enclosure Half","","Custom 3D-printed bottom enclosure half with mounting points for PCB standoffs and base.","mechanical","3d_printed",1,5.00,5.00,"https://www.amazon.com/s?k=PETG+filament"
"Top Enclosure Half","","Custom 3D-printed top enclosure half with cutouts for USB-C, HDMI, and ventilation.","mechanical","3d_printed",1,4.50,4.50,"https://www.amazon.com/s?k=PETG+filament"
"Enclosure Assembly Screws","M3x12mm Self-Tapping Screws","Screws for joining the top and bottom enclosure halves.","mechanical","misc",4,0.08,0.32,"https://www.amazon.com/dp/B0FMXNHK8H?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"FPGA Heat Sink","15x15x8mm Adhesive Copper Heatsink","Small copper heatsink with adhesive backing for thermal management of the FPGA.","mechanical","misc",1,1.50,1.50,"https://www.amazon.com/s?k=15x15x8mm+copper+heatsink"
"LPDDR4 Memory Chip 0 Mount","","Adapter plate for the LPDDR4 Memory Chip 0 that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"LPDDR4 Memory Chip 1 Mount","","Adapter plate for the LPDDR4 Memory Chip 1 that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"LPDDR4 Memory Chip 2 Mount","","Adapter plate for the LPDDR4 Memory Chip 2 that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"LPDDR4 Memory Chip 3 Mount","","Adapter plate for the LPDDR4 Memory Chip 3 that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"HDMI Transmitter Mount","","Adapter plate for the HDMI Transmitter that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"USB-C PD Controller Mount","","Adapter plate for the USB-C PD Controller that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"USB-C Power Input Receptacle Mount","","Adapter plate for the USB-C Power Input Receptacle that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"HDMI Type-A Output Receptacle Mount","","Adapter plate for the HDMI Type-A Output Receptacle that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
